"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
13708038,"JJ100035","12/31/2024 11:55:00 PM","077XX S CICERO AVE","0498","BATTERY","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY","HOTEL / MOTEL","false","true",834,8,18,70,"04B",1145740,1853048,2024,"11/02/2025 03:41:09 PM",41.752748627,-87.741497836,"(41.752748627, -87.741497836)"
13707823,"JJ100020","12/31/2024 11:50:00 PM","012XX N MENARD AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false",2531,25,29,25,"08B",1137458,1907694,2024,"05/17/2025 03:40:52 PM",41.902858242,-87.770536741,"(41.902858242, -87.770536741)"
13707839,"JJ100021","12/31/2024 11:46:00 PM","021XX W CULLERTON ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true",1234,12,25,31,"08B",1162508,1890389,2024,"05/17/2025 03:40:52 PM",41.854883985,-87.67900769,"(41.854883985, -87.67900769)"
13707986,"JJ100019","12/31/2024 11:45:00 PM","117XX S STATE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",532,5,9,53,"08B",1178352,1827293,2024,"11/02/2025 03:41:09 PM",41.68139574,-87.622767037,"(41.68139574, -87.622767037)"
13707836,"JJ100034","12/31/2024 11:40:00 PM","0000X S OAKLEY BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1223,12,27,28,"07",1161090,1899804,2024,"11/02/2025 03:41:09 PM",41.880749175,-87.683950956,"(41.880749175, -87.683950956)"
13710034,"JJ102510","12/31/2024 11:30:00 PM","063XX S DR MARTIN LUTHER KING JR DR","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",312,3,20,69,"07",1180014,1862868,2024,"05/17/2025 03:40:52 PM",41.778980114,-87.615597389,"(41.778980114, -87.615597389)"
13707871,"JJ100018","12/31/2024 11:30:00 PM","043XX N WESTERN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK","false","true",1911,19,47,5,"08B",1159595,1928661,2024,"11/02/2025 03:41:09 PM",41.95996579,-87.688643896,"(41.95996579, -87.688643896)"
13707879,"JJ100006","12/31/2024 11:30:00 PM","016XX S RUBLE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",1235,12,25,31,"08B",1172072,1892178,2024,"05/17/2025 03:40:52 PM",41.859587783,-87.643851097,"(41.859587783, -87.643851097)"
13707829,"JH561806","12/31/2024 11:26:00 PM","023XX S WINCHESTER AVE","0560","ASSAULT","SIMPLE","STREET","true","false",1034,10,25,31,"08A",1163673,1888638,2024,"05/17/2025 03:40:52 PM",41.85005463,-87.674780925,"(41.85005463, -87.674780925)"
13707809,"JH561809","12/31/2024 11:26:00 PM","0000X E 69TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET","false","false",322,3,6,69,"04B",1177706,1859276,2024,"11/02/2025 03:41:09 PM",41.769175835,-87.624167245,"(41.769175835, -87.624167245)"
13709130,"JJ101442","12/31/2024 11:15:00 PM","041XX S DR MARTIN LUTHER KING JR SD","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false",213,2,3,38,"06",1179476,1877457,2024,"11/02/2025 03:41:09 PM",41.819025948,-87.617124094,"(41.819025948, -87.617124094)"
13707884,"JH561816","12/31/2024 11:14:00 PM","008XX W KINZIE ST","0460","BATTERY","SIMPLE","BAR OR TAVERN","false","false",1214,12,27,24,"08B",1170560,1902893,2024,"05/17/2025 03:40:52 PM",41.889023706,-87.649087622,"(41.889023706, -87.649087622)"
13707805,"JH561796","12/31/2024 11:10:00 PM","013XX S KARLOV AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true",1011,10,24,29,"08B",1149263,1893560,2024,"11/02/2025 03:41:09 PM",41.863852276,-87.727540817,"(41.863852276, -87.727540817)"
13707947,"JJ100075","12/31/2024 11:00:00 PM","018XX W PRYOR AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","VEHICLE NON-COMMERCIAL","true","true",2212,22,19,75,"08B",1166171,1831263,2024,"05/17/2025 03:40:52 PM",41.692557138,-87.667243735,"(41.692557138, -87.667243735)"
13716826,"JJ110744","12/31/2024 11:00:00 PM","005XX S MICHIGAN AVE","0810","THEFT","OVER $500","HOTEL / MOTEL","false","false",123,1,4,32,"06",1177364,1897937,2024,"11/02/2025 03:41:09 PM",41.875272573,-87.624251314,"(41.875272573, -87.624251314)"
13708480,"JJ100762","12/31/2024 11:00:00 PM","030XX S ST LOUIS AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1032,10,22,30,"07",1153516,1884203,2024,"11/02/2025 03:41:09 PM",41.838092148,-87.712176626,"(41.838092148, -87.712176626)"
13708463,"JJ100706","12/31/2024 11:00:00 PM","017XX E 78TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",414,4,8,43,"08B",1189336,1853609,2024,"11/02/2025 03:41:09 PM",41.75335405,-87.581719221,"(41.75335405, -87.581719221)"
13708731,"JJ100999","12/31/2024 11:00:00 PM","022XX S INDIANA AVE","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","ALLEY","false","false",132,1,3,33,"02",1177975,1889625,2024,"11/02/2025 03:41:09 PM",41.852450058,-87.622260765,"(41.852450058, -87.622260765)"
13708093,"JJ100288","12/31/2024 11:00:00 PM","093XX S CREGIER AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",413,4,8,48,"07",1189812,1843431,2024,"11/02/2025 03:41:09 PM",41.72541322,-87.580301255,"(41.72541322, -87.580301255)"
13707968,"JJ100124","12/31/2024 11:00:00 PM","026XX W JACKSON BLVD","0460","BATTERY","SIMPLE","COMMERCIAL / BUSINESS OFFICE","false","false",1125,11,28,27,"08B",1158831,1898596,2024,"11/02/2025 03:41:09 PM",41.877480915,-87.692278962,"(41.877480915, -87.692278962)"
13707808,"JH561778","12/31/2024 10:50:00 PM","116XX S LOOMIS ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",524,5,21,53,"08B",1169091,1827520,2024,"11/02/2025 03:41:09 PM",41.682223263,-87.656660736,"(41.682223263, -87.656660736)"
13708015,"JH561747","12/31/2024 10:45:00 PM","122XX S EMERALD AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET","false","true",523,5,21,53,"04A",1173535,1823732,2024,"11/02/2025 03:41:09 PM",41.671731444,-87.640504609,"(41.671731444, -87.640504609)"
13707831,"JH561789","12/31/2024 10:35:00 PM","043XX N ELSTON AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",1723,17,39,16,"08B",1149178,1928247,2024,"05/17/2025 03:40:52 PM",41.959038415,-87.726952623,"(41.959038415, -87.726952623)"
13707903,"JH561777","12/31/2024 10:30:00 PM","117XX S STATE ST","0460","BATTERY","SIMPLE","RESIDENCE","false","false",522,5,9,53,"08B",1178356,1827180,2024,"05/17/2025 03:40:52 PM",41.68108556,-87.622755807,"(41.68108556, -87.622755807)"
13713321,"JJ106368","12/31/2024 10:30:00 PM","010XX N SACRAMENTO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",1211,12,26,24,"08B",1156188,1907011,2024,"11/02/2025 03:41:09 PM",41.900626231,-87.701755961,"(41.900626231, -87.701755961)"
13713869,"JJ106987","12/31/2024 10:30:00 PM","006XX W CERMAK RD","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false",1235,12,25,31,"02",1172300,1889667,2024,"11/02/2025 03:41:09 PM",41.852692376,-87.643088278,"(41.852692376, -87.643088278)"
13708007,"JH561780","12/31/2024 10:30:00 PM","047XX W NORTH AVE","0312","ROBBERY","ARMED - KNIFE / CUTTING INSTRUMENT","CONVENIENCE STORE","false","false",2533,25,37,25,"03",1144311,1910210,2024,"11/02/2025 03:41:09 PM",41.909636288,-87.745300725,"(41.909636288, -87.745300725)"
13707854,"JH561775","12/31/2024 10:30:00 PM","040XX W 21ST ST","0454","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY","SIDEWALK","true","false",1012,10,24,29,"08B",1149774,1889785,2024,"05/17/2025 03:40:52 PM",41.853483307,-87.725763009,"(41.853483307, -87.725763009)"
