zipcode,crime_count
60620,6697
60619,6584
60628,5855
60623,5589
60617,5517
60637,5347
60649,5331
60644,5158
60647,4786
60629,4715
60624,4489
60612,4454
60639,4408
60609,4322
60608,4259
60651,4209
60621,4189
60607,3857
60622,3777
60632,3748
60616,3659
60615,3594
60636,3494
60614,3447
60640,3392
60657,3381
60618,3318
60611,3140
60653,3106
60643,2984
60626,2889
60613,2735
60641,2576
60625,2543
60610,2420
60605,2353
60654,2191
60634,2075
60642,1872
60652,1797
60638,1752
60601,1723
60660,1690
60630,1639
60659,1597
60645,1396
60602,1396
60827,785
60018,739
60707,699
60661,677
60606,673
60603,629
60633,562
60656,506
60646,503
60631,485
60655,450
60604,360
60302,74
60706,43
60805,42
60202,35
60304,30
60712,24
60459,21
60456,20
60804,18
60803,17
60068,13
60453,12
60714,9
60501,7
60419,6
60131,6
60106,3
60176,2
60406,2
46394,1
